Temporada,Partidos,Puntos,PPP,Prom_GF,Prom_GC
2022,46,70,70,1.3478260869565217,1.326086956521739
2023,47,60,60,1.2127659574468086,1.297872340425532
2024,52,91,91,1.1730769230769231,0.7884615384615384
2025,56,90,90,1.2142857142857142,0.9642857142857143
